Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-14.5953715692,31.5116666667,13.3418082159,455.005,695.862819054
-14.4972715692,9.51166666667,13.5229832085,693.005,696.601104875
-14.3991715692,21.5116666667,13.707873823,557.005,697.125763336
-14.3009715692,8.51166666667,13.8967767081,789.005,697.392013398
-14.2028715692,25.5116666667,14.0894130713,947.005,697.55285902
-14.1047715692,-25.4883333333,14.2860828589,434.005,697.669491766
-14.0066715692,-32.4883333333,14.4868994646,337.005,697.766022423
-13.9085715692,-10.4883333333,14.6919802955,389.005,697.852190195
-13.8104715692,34.5116666667,14.9014469433,445.005,697.932670778
-13.7123715692,-14.4883333333,15.1154253645,876.005,698.009956181
-13.6142715692,47.5116666667,15.3340460704,1116.005,698.085512311
-13.5161715692,12.5116666667,15.5574443255,610.005,698.160265874
-13.4180715692,30.5116666667,15.785760357,557.005,698.234836979
-13.3199715692,12.5116666667,16.0191395751,1113.005,698.309648182
-13.2219715692,18.5116666667,16.2574868826,1809.005,698.385042933
-13.1238715692,-6.48833333333,16.5014450495,1240.005,698.461278706
-13.0257715692,9.51166666667,16.750935939,849.005,698.538538568
-12.9276715692,49.5116666667,17.0061281276,1280.005,698.616967635
-12.8295715692,59.5116666667,17.267196661,1209.005,698.696757595
-12.7314715692,10.5116666667,17.5343233551,1270.005,698.778006489
-12.6334715692,15.5116666667,17.8074151973,853.005,698.860793753
-12.5353715692,49.5116666667,18.0872256704,513.005,698.945281042
-12.4372715692,12.5116666667,18.3736834142,553.005,699.031517225
-12.3391715692,55.5116666667,18.667000662,580.005,699.11963101
-12.2411715692,40.5116666667,18.967088288,579.005,699.20970394
-12.1430715692,38.5116666667,19.2747882416,523.005,699.301816871
-12.0449715692,54.5116666667,19.590037067,285.005,699.396081784
-11.9469715692,58.5116666667,19.9127503699,283.005,699.492534138
-11.8488715692,-0.488333333333,20.2438458389,469.005,699.591355468
-11.7508715692,-0.488333333333,20.5829180355,605.005,699.692548902
-11.6527715692,0.511666666667,20.9309402932,967.005,699.796256207
-11.5546715692,-9.48833333333,21.2878644977,1140.005,699.902606719
-11.4566715692,57.5116666667,21.65361884,742.005,700.011621452
-11.3585715692,47.5116666667,22.0292689703,903.005,700.123506031
-11.2605715692,41.5116666667,22.4143817549,1230.005,700.238265385
-11.1624715692,-8.48833333333,22.8100910063,795.005,700.356064166
-11.0644715692,73.5116666667,23.2159528337,422.005,700.477035991
-10.9664715692,8.51166666667,23.63274418,470.005,700.601243015
-10.8683715692,23.5116666667,24.0613038072,309.005,700.728876645
-10.7703715692,65.5116666667,24.5011724388,179.005,700.860036328
-10.6722715692,76.5116666667,24.9536819254,170.005,700.994863923
-10.5742715692,79.5116666667,25.4183634836,197.005,701.133491701
-10.4762715692,54.5116666667,25.8961467956,178.005,701.276066372
-10.3781715692,23.5116666667,26.3880376055,177.005,701.422795512
-10.2801715692,36.5116666667,26.8935545589,243.005,701.573805182
-10.1821715692,45.5116666667,27.4137382948,290.005,701.729248386
-10.0840715692,17.5116666667,27.9497160674,542.005,701.889362032
-9.98607156915,85.5116666667,28.5009968541,605.005,702.054256523
-9.88807156915,45.5116666667,29.0687502763,425.005,702.224186096
-9.79007156915,-5.48833333333,29.6536392198,526.005,702.399365678
-9.69207156915,61.5116666667,30.2563602535,514.005,702.579976994
-9.59397156915,70.5116666667,30.8782894097,309.005,702.766306393
-9.49597156915,66.5116666667,31.5189297257,326.005,702.958545255
-9.39797156915,72.5116666667,32.1797163028,314.005,703.156986079
-9.29997156915,26.5116666667,32.8615028091,606.005,703.361905544
-9.20197156915,63.5116666667,33.5651886127,482.005,703.573544611
-9.10397156915,66.5116666667,34.2917217495,464.005,703.792235741
-9.00597156915,89.5116666667,35.042102118,809.005,704.018298763
-8.90797156915,73.5116666667,35.8173849215,627.005,704.25207122
-8.80997156915,77.5116666667,36.61868438,360.005,704.493909898
-8.71197156915,79.5116666667,37.4471777357,406.005,704.744187352
-8.61397156915,109.511666667,38.3041095799,306.005,705.003239612
-8.51597156915,90.5116666667,39.1907965296,265.005,705.271613386
-8.41797156915,97.5116666667,40.108632288,469.005,705.549710618
-8.31997156915,149.511666667,41.0590931251,690.005,705.838004192
-8.22197156915,146.511666667,42.0437438172,742.005,706.136993558
-8.12397156915,143.511666667,43.0642440919,570.005,706.447139337
-8.02597156915,109.511666667,44.1223556271,441.005,706.769162303
-7.92807156915,161.511666667,45.2188088766,686.005,707.103557814
-7.83007156915,146.511666667,46.3578311054,1462.005,707.450977785
-7.73207156915,158.511666667,47.5404386077,1625.005,707.812219435
-7.63407156915,207.511666667,48.7688838583,961.005,708.187939577
-7.53607156915,162.511666667,50.0455667451,791.005,708.578903258
-7.43817156915,239.511666667,51.3716649263,419.005,708.986029502
-7.34017156915,302.511666667,52.7526160842,302.005,709.410252245
-7.24217156915,229.511666667,54.190008888,243.005,709.852344701
-7.14427156915,247.511666667,55.6854026488,274.005,710.313469707
-7.04627156915,304.511666667,57.2451860016,396.005,710.794758592
-6.94827156915,257.511666667,58.8714357807,607.005,711.297477896
-6.85037156915,258.511666667,60.5662144245,531.005,711.822593812
-6.75237156915,300.511666667,62.3370913818,341.005,712.371986514
-6.65437156915,323.511666667,64.1867875121,228.005,712.946729225
-6.55647156915,360.511666667,66.118033727,184.005,713.548592436
-6.45847156915,362.511666667,68.1398817275,190.005,714.179315367
-6.36057156915,356.511666667,70.2537003831,221.005,714.840625508
-6.26257156915,403.511666667,72.4697442884,272.005,715.534919032
-6.16467156915,380.511666667,74.7898938241,364.005,716.263976813
-6.06667156915,417.511666667,77.2258222646,572.005,717.030440562
-5.96877156915,410.511666667,79.7800551469,535.005,717.837056188
-5.87077156915,459.511666667,82.4659490475,623.005,718.686357805
-5.77287156915,530.511666667,85.2868453942,842.005,719.5815037
-5.67497156915,495.511666667,88.2550003483,920.005,720.525893127
-5.57697156915,458.511666667,91.384122414,668.005,721.523795954
-5.47907156915,499.511666667,94.6792072993,509.005,722.578301117
-5.38117156915,510.511666667,98.1557820401,522.005,723.694378817
-5.28317156915,517.511666667,101.831279277,833.005,724.877160362
-5.18527156915,597.511666667,105.713082821,1161.005,726.131554075
-5.08737156915,618.511666667,109.821158869,1366.005,727.464278791
-4.98947156915,612.511666667,114.173441833,1630.005,728.881293712
-4.89147156915,574.511666667,118.794536335,1886.005,730.390164184
-4.79357156915,591.511666667,123.696815596,1445.005,731.998867781
-4.69567156915,551.511666667,128.908938192,879.005,733.716784401
-4.59777156915,601.511666667,134.457576935,973.005,735.554141613
-4.49987156915,643.511666667,140.372337892,989.005,737.522011763
-4.40187156915,618.511666667,146.692821626,503.005,739.633725393
-4.30397156915,591.511666667,153.442886275,483.005,741.903186208
-4.20607156915,610.511666667,160.669823854,808.005,744.347070576
-4.10817156915,616.511666667,168.41963682,1169.005,746.983944566
-4.01027156915,711.511666667,176.744011796,1177.005,749.834401676
-3.91237156915,723.511666667,185.701183729,741.005,752.922784073
-3.81447156915,663.511666667,195.356957309,539.005,756.276563177
-3.71657156915,711.511666667,205.785919225,443.005,759.926305058
-3.61867156915,807.511666667,217.072883117,489.005,763.91078497
-3.52077156915,804.511666667,229.314619717,682.005,768.271767898
-3.42287156915,803.511666667,242.62193837,1129.005,773.058849727
-3.32497156915,815.511666667,257.122203925,1151.005,778.330118819
-3.22707156915,894.511666667,272.962396278,808.005,784.152343587
-3.12917156915,889.511666667,290.312850518,660.005,790.610638193
