Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-12.2926153124,3311.12333333,4.27912694214,167.513333333,144.382678465
-12.1946153124,3397.12333333,4.34819352618,163.513333333,144.510524353
-12.0966153124,3595.12333333,4.41894595325,207.513333333,144.617134354
-11.9986153124,4244.12333333,4.49143954302,175.513333333,144.694820669
-11.9006153124,4596.12333333,4.56573190315,171.513333333,144.750596819
-11.8025153124,3800.12333333,4.64196171947,218.513333333,144.793926202
-11.7045153124,2964.12333333,4.72003616797,235.513333333,144.830955209
-11.6065153124,2479.12333333,4.80009718504,173.513333333,144.864803716
-11.5085153124,2824.12333333,4.88221274813,145.513333333,144.897035788
-11.4105153124,3053.12333333,4.96645376758,146.513333333,144.928494459
-11.3125153124,2814.12333333,5.05289423983,148.513333333,144.959675124
-11.2145153124,3089.12333333,5.14161140998,143.513333333,144.990896467
-11.1165153124,4172.12333333,5.23268594448,167.513333333,145.022377949
-11.0185153124,4088.12333333,5.32620211464,191.513333333,145.054278709
-10.9205153124,3833.12333333,5.42224799166,108.513333333,145.086721981
-10.8225153124,4011.12333333,5.52091565415,160.513333333,145.119806881
-10.7245153124,3655.12333333,5.62230140899,177.513333333,145.153617963
-10.6265153124,3399.12333333,5.72650602646,165.513333333,145.188229395
-10.5285153124,3066.12333333,5.83363499085,119.513333333,145.223709075
-10.4305153124,2953.12333333,5.94379876757,163.513333333,145.260120491
-10.3325153124,2918.12333333,6.05711308818,150.513333333,145.297524928
-10.2345153124,2760.12333333,6.17369925449,180.513333333,145.335982192
-10.1366153124,2853.12333333,6.29356025245,117.513333333,145.375558928
-10.0386153124,3546.12333333,6.41707426882,93.5133333333,145.416301843
-9.94061531241,3406.12333333,6.54426067398,146.513333333,145.45827834
-9.84261531241,2679.12333333,6.67526652468,115.513333333,145.501550633
-9.74461531241,2541.12333333,6.81024631367,107.513333333,145.546183005
-9.64671531241,2630.12333333,6.94921830491,129.513333333,145.592250308
-9.54871531241,2846.12333333,7.09263702014,126.513333333,145.639806889
-9.45071531241,3107.12333333,7.24054230614,127.513333333,145.688933351
-9.35281531241,3210.12333333,7.39296514713,132.513333333,145.739714608
-9.25481531241,3589.12333333,7.5504159551,146.513333333,145.792213528
-9.15681531241,3854.12333333,7.71295137058,162.513333333,145.846522511
-9.05891531241,4100.12333333,7.88061868208,129.513333333,145.902739752
-8.96091531241,4502.12333333,8.05399372771,199.513333333,145.960940302
-8.86291531241,4015.12333333,8.23315448175,250.513333333,146.02123257
-8.76501531241,2950.12333333,8.41816914316,177.513333333,146.083732026
-8.66701531241,2974.12333333,8.60969060971,139.513333333,146.148529363
