Wavelength shift,Background,Response,Shot,Fit
Angstroms,a.u.,a.u.,a.u.,a.u.
-12.2492570805,21.5166666667,1.15366587147,406.501666667,226.064668788
-12.1512570805,17.5166666667,1.17235666744,323.501666667,228.4406574
-12.0532570805,-12.4833333333,1.19150545047,325.501666667,230.653222695
-11.9551570805,-10.4833333333,1.21114757784,244.501666667,232.377418345
-11.8571570805,28.5166666667,1.23125873279,148.501666667,233.548364559
-11.7591570805,16.5166666667,1.25187506731,84.5016666667,234.291407348
-11.6611570805,19.5166666667,1.27301364625,172.501666667,234.76882258
-11.5631570805,-24.4833333333,1.29469226127,175.501666667,235.09824612
-11.4651570805,28.5166666667,1.31692946828,147.501666667,235.346115356
-11.3671570805,-5.48333333333,1.33974462722,134.501666667,235.546830361
-11.2691570805,-0.483333333334,1.36315794418,187.501666667,235.718823301
-11.1711570805,-29.4833333333,1.38719051623,242.501666667,235.872759207
-11.0731570805,-13.4833333333,1.41186437898,412.501666667,236.015308543
-10.9751570805,7.51666666667,1.43720255712,464.501666667,236.151028569
-10.8771570805,3.51666666667,1.4632291182,311.501666667,236.283215594
-10.7791570805,-16.4833333333,1.48996922982,230.501666667,236.414448231
-10.6811570805,15.5166666667,1.51744922059,183.501666667,236.54684832
-10.5831570805,4.51666666667,1.54569664491,134.501666667,236.682292515
-10.4851570805,5.51666666667,1.57474035221,136.501666667,236.822515374
-10.3871570805,10.5166666667,1.60461056063,224.501666667,236.969215325
-10.2892570805,-20.4833333333,1.63530713171,217.501666667,237.124096416
-10.1912570805,11.5166666667,1.66692594345,129.501666667,237.288983741
-10.0932570805,4.51666666667,1.69947090064,166.501666667,237.465791483
-9.99525708054,-19.4833333333,1.73297853679,149.501666667,237.656615392
-9.89725708054,23.5166666667,1.76748720511,227.501666667,237.863768471
-9.79935708054,-11.4833333333,1.80300036795,208.501666667,238.089805362
-9.70135708054,-1.48333333333,1.83963286817,189.501666667,238.337623663
-9.60335708054,-10.4833333333,1.87739347033,240.501666667,238.610430545
-9.50545708054,1.51666666667,1.9162886388,273.501666667,238.911827329
-9.40745708054,-2.48333333333,1.95644705308,429.501666667,239.245909942
-9.30945708054,-10.4833333333,1.99788146215,254.501666667,239.617233518
-9.21155708054,-4.48333333333,2.04060217907,139.501666667,240.030914034
-9.11355708054,1.51666666667,2.08475403373,279.501666667,240.492745266
-9.01555708054,10.5166666667,2.1303548326,303.501666667,241.009163609
-8.91765708054,12.5166666667,2.17741982286,326.501666667,241.587366512
-8.81965708054,27.5166666667,2.22611279752,322.501666667,242.235445613
-8.72175708054,1.51666666667,2.27640575504,338.501666667,242.96233632
-8.62375708054,8.51666666667,2.32847699579,336.501666667,243.778049246
-8.52585708054,1.51666666667,2.3823000717,257.501666667,244.693592631
-8.42785708054,10.5166666667,2.43806954532,229.501666667,245.72121343
-8.32995708054,29.5166666667,2.49576109825,264.501666667,246.874307368
-8.23195708054,12.5166666667,2.55558757944,201.501666667,248.167668113
-8.13405708054,-4.48333333333,2.61752751102,140.501666667,249.617380555
-8.03615708054,-3.48333333333,2.68174757095,191.501666667,251.241048312
-7.93815708054,-7.48333333333,2.74843040333,145.501666667,253.057777314
-7.84025708054,-21.4833333333,2.81756049752,114.501666667,255.088118928
-7.74235708054,9.51666666667,2.88933281186,230.501666667,257.354228942
-7.64435708054,16.5166666667,2.96396139692,281.501666667,259.879773347
-7.54645708054,33.5166666667,3.04143943295,301.501666667,262.689783185
-7.44855708054,15.5166666667,3.12199662732,313.501666667,265.810744174
-7.35065708054,17.5166666667,3.20579839023,253.501666667,269.27035222
-7.25265708054,28.5166666667,3.29311230054,163.501666667,273.097363189
-7.15475708054,30.5166666667,3.3839492019,152.501666667,277.321161352
-7.05685708054,10.5166666667,3.47859851385,220.501666667,281.971637811
-6.95895708054,7.51666666667,3.57727668657,397.501666667,287.078700147
-6.86105708054,11.5166666667,3.68021575869,506.501666667,292.671832197
-6.76305708054,26.5166666667,3.78777687376,445.501666667,298.779494096
-6.66515708054,6.51666666667,3.90000821696,544.501666667,305.428216147
-6.56725708054,22.5166666667,4.01730481269,743.501666667,312.642132867
-6.46935708054,-1.48333333333,4.13997625996,792.501666667,320.442122546
-6.37145708054,-1.48333333333,4.26835618985,567.501666667,328.845078182
-6.27355708054,16.5166666667,4.4028045404,372.501666667,337.863023338
-6.17565708054,52.5166666667,4.54371008688,305.501666667,347.50219326
-6.07775708054,19.5166666667,4.6914932608,329.501666667,357.762178578
-5.97985708054,21.5166666667,4.84660929586,269.501666667,368.635173985
-5.88195708054,3.51666666667,5.00955174498,194.501666667,380.105356483
-5.78405708054,35.5166666667,5.18085641942,275.501666667,392.148421436
-5.68615708054,36.5166666667,5.36110580869,501.501666667,404.731317924
-5.58825708054,-0.483333333334,5.55093404985,560.501666667,417.812238272
-5.49035708054,20.5166666667,5.75103252534,413.501666667,431.340936681
-5.39255708054,39.5166666667,5.96193463063,351.501666667,445.259321605
-5.29465708054,12.5166666667,6.18489657761,299.501666667,459.502709794
-5.19675708054,46.5166666667,6.42061287972,366.501666667,474.000316016
-5.09885708054,23.5166666667,6.67007595238,502.501666667,488.676649342
-5.00095708054,27.5166666667,6.93437672315,493.501666667,503.452840291
-4.90315708054,15.5166666667,7.21442163744,474.501666667,518.24834028
-4.80525708054,37.5166666667,7.51210782037,474.501666667,532.983266869
-4.70735708054,15.5166666667,7.82862277515,643.501666667,547.579374585
-4.60945708054,44.5166666667,8.16559001544,718.501666667,561.961845759
-4.51165708054,37.5166666667,8.52443311215,538.501666667,576.0603901
-4.41375708054,8.51666666667,8.90788983456,302.501666667,589.811150421
-4.31585708054,28.5166666667,9.31784186865,329.501666667,603.156904451
-4.21805708054,41.5166666667,9.75632624083,641.501666667,616.048076396
-4.12015708054,39.5166666667,10.227040791,871.501666667,628.443700167
-4.02235708054,13.5166666667,10.7321678989,862.501666667,640.31041003
-3.92445708054,33.5166666667,11.2762889896,957.501666667,651.623849442
-3.82665708054,19.5166666667,11.8622983132,712.501666667,662.366743049
-3.72875708054,61.5166666667,12.4959429013,610.501666667,672.530067991
-3.63085708054,69.5166666667,13.1818252958,520.501666667,682.110863676
-3.53305708054,0.516666666666,13.9250667192,474.501666667,691.112178817
-3.43525708054,63.5166666667,14.7330944393,610.501666667,699.543097426
-3.33735708054,47.5166666667,15.6146170033,679.501666667,707.417636464
-3.23955708054,27.5166666667,16.5768123746,655.501666667,714.752825525
-3.14165708054,51.5166666667,17.6320767664,637.501666667,721.570389496
-3.04385708054,33.5166666667,18.7903892702,547.501666667,727.89306899
-2.94595708054,32.5166666667,20.0683470316,462.501666667,733.747431823
-2.84815708054,60.5166666667,21.4800639526,549.501666667,739.159850316
-2.75035708054,73.5166666667,23.0465611465,547.501666667,744.159571665
-2.65245708054,59.5166666667,24.7932721736,598.501666667,748.77729859
-2.55465708054,79.5166666667,26.744874005,575.501666667,753.042789857
-2.45685708054,64.5166666667,28.9371105816,588.501666667,756.989006534
-2.35905708054,55.5166666667,31.4113822211,654.501666667,760.649772472
-2.26115708054,58.5166666667,34.2214893187,854.501666667,764.062110556
-2.16335708054,59.5166666667,37.4244898219,735.501666667,767.262547986
-2.06555708054,54.5166666667,41.1014191625,542.501666667,770.2948502
-1.96775708054,96.5166666667,45.351133243,520.501666667,773.207574783
-1.86995708054,70.5166666667,50.2998387693,544.501666667,776.057627037
-1.77215708054,107.516666667,56.110769019,718.501666667,778.913872061
-1.67425708054,181.516666667,63.0058184087,907.501666667,781.865316835
-1.57645708054,139.516666667,71.2569315368,1019.50166667,785.017796282
-1.47865708054,168.516666667,81.258971746,1359.50166667,788.521727753
-1.38085708054,208.516666667,93.5510878284,1127.50166667,792.580256457
-1.28305708054,226.516666667,108.900318273,733.501666667,797.481124824
-1.18525708054,327.516666667,128.429957787,835.501666667,803.645611528
-1.08745708054,289.516666667,153.84292986,1131.50166667,811.713689295
-0.989657080542,286.516666667,187.832196688,1059.50166667,822.700470256
-0.891857080541,330.516666667,234.886433534,936.501666667,838.303278248
-0.794057080542,401.516666667,302.996716222,986.501666667,861.552042976
-0.696257080542,436.516666667,407.515282364,1147.50166667,898.279677584
-0.598557080542,518.516666667,579.596734872,1010.50166667,960.338439422
-0.500757080542,929.516666667,883.048924637,1212.50166667,1072.02053213
-0.402957080542,1473.51666667,1427.4268967,1422.50166667,1275.0473723
-0.305157080541,2050.51666667,2333.06756981,1805.50166667,1615.24779055
-0.207357080542,3363.51666667,3579.20722122,2196.50166667,2084.68939059
-0.109557080541,5240.51666667,4810.97002943,2482.50166667,2548.13926507
-0.0118570805417,5516.51666667,5420.87984117,2896.50166667,2774.12142543
0.0859429194583,4653.51666667,5037.71097857,2695.50166667,2621.17548819
0.183742919458,3875.51666667,3899.32167676,2018.50166667,2179.9114578
0.28154291946,2883.51666667,2609.70358008,1291.50166667,1680.44345628
0.379242919458,1653.51666667,1610.6132543,865.501666667,1291.07564059
0.477042919459,913.516666667,987.85648668,941.501666667,1044.49486719
