fibre,ypos,xpos,Ne,dNe,vlayer,dv,Ti,dTi,ZTe,Z,Te,dZTe,Fibre,vflow,dv,,
,mm,mm,e/cm3,e/cm3,km/s,km/s,eV,eV,eV,,,eV,,km/s,km/s,,
1,0.6591,-2.2831,7.30882352941176E17,8.64644136437484E16,-10,1,28.5,6.5,,,,,--,,,,
2,0.4953,-1.8707,6.18352941176471E17,7.33103891380874E16,-10,2,150,50,,,,,--,,,,
3,0.3314,-1.4526,6.21235294117647E17,1.10004171961766E17,-31,1,300,60,315,7,45,175,--,,,,
4,0.1676,-1.0402,9.95379310344828E17,2.06216616473401E17,-32.5,1.5,280,30,333,7.4,45,100,--,,,,
5,0.0037,-0.6278,1.35365517241379E18,2.80272093910378E17,-24,2,265,25,--,--,--,--,--,,,,
6,-0.1544,-0.2097,1.11468965517241E18,2.30872886895574E17,-7,1.5,180,30,40,3.5,11,30,--,,,,
7,-0.3183,0.2027,9.70413793103448E17,2.01058230955083E17,-0.75,1.25,45,10,,,,,--,,,,
8,-0.4765,0.6039,6.39705882352941E17,7.5804133347118E16,3,1,28.5,6.5,,,,,--,,,,
9,-0.6347,0.9993,5.41117647058824E17,6.43023537218192E16,4.5,1.5,26.5,8.5,,,,,9A,-33,3,,
10,-0.7929,1.4005,4.06058823529412E17,4.86210109390132E16,7,1.5,22.5,7.5,,,,,10A,-36,3,,
11,-0.968,1.8411,3.59176470588235E17,4.32133112920824E16,9,1.5,30,10,,,,,11A,-42.5,2.5,,
12,-1.1431,2.2762,4.07235294117647E17,4.8757024087391E16,6.5,1,22,10,,,,,12A,-48,2,,
13,-1.307,2.6886,4.16470588235294E17,4.98251871066406E16,13,2.5,13,5,,,,,13A,-47,2,,
14,-1.4708,3.101,3.66E17,4.39987089828145E16,--,--,--,--,,,,,14A,-49,2,,
